branch_id,branch_name,city,state,region,opened_year
BR0081,AxisOne Branch 81,Bengaluru,Karnataka,South,2008
BR0082,AxisOne Branch 82,Jaipur,Rajasthan,West,2017
BR0083,AxisOne Branch 83,Delhi,Delhi,West,2018
BR0084,AxisOne Branch 84,Ahmedabad,Gujarat,North,2024
BR0085,AxisOne Branch 85,Mumbai,Maharashtra,West,2023
BR0086,AxisOne Branch 86,Jaipur,Rajasthan,West,2003
BR0087,AxisOne Branch 87,Hyderabad,Telangana,East,2000
BR0088,AxisOne Branch 88,Hyderabad,Telangana,West,2010
BR0089,AxisOne Branch 89,Mumbai,Maharashtra,South,2003
BR0090,AxisOne Branch 90,Pune,Maharashtra,North,2002
BR0091,AxisOne Branch 91,Bengaluru,Karnataka,South,2017
BR0092,AxisOne Branch 92,Bengaluru,Karnataka,East,2002
BR0093,AxisOne Branch 93,Pune,Maharashtra,North,1998
BR0094,AxisOne Branch 94,Mumbai,Maharashtra,South,2011
BR0095,AxisOne Branch 95,Jaipur,Rajasthan,South,1998
BR0096,AxisOne Branch 96,Lucknow,Uttar Pradesh,South,2007
BR0097,AxisOne Branch 97,Jaipur,Rajasthan,East,2006
BR0098,AxisOne Branch 98,Hyderabad,Telangana,South,1999
BR0099,AxisOne Branch 99,Ahmedabad,Gujarat,West,2019
BR0100,AxisOne Branch 100,Hyderabad,Telangana,South,2015
BR0101,AxisOne Branch 101,Pune,Maharashtra,North,2012
BR0102,AxisOne Branch 102,Pune,Maharashtra,North,2022
BR0103,AxisOne Branch 103,Pune,Maharashtra,South,2002
BR0104,AxisOne Branch 104,Bengaluru,Karnataka,North,2015
BR0105,AxisOne Branch 105,Delhi,Delhi,East,2019
BR0106,AxisOne Branch 106,Bengaluru,Karnataka,North,2015
BR0107,AxisOne Branch 107,Delhi,Delhi,South,2004
BR0108,AxisOne Branch 108,Lucknow,Uttar Pradesh,North,2022
BR0109,AxisOne Branch 109,Mumbai,Maharashtra,West,2015
BR0110,AxisOne Branch 110,Delhi,Delhi,North,2012
BR0111,AxisOne Branch 111,Ahmedabad,Gujarat,South,2020
BR0112,AxisOne Branch 112,Lucknow,Uttar Pradesh,West,2014
BR0113,AxisOne Branch 113,Bengaluru,Karnataka,South,2020
BR0114,AxisOne Branch 114,Lucknow,Uttar Pradesh,South,2024
BR0115,AxisOne Branch 115,Bengaluru,Karnataka,South,2011
BR0116,AxisOne Branch 116,Mumbai,Maharashtra,West,2012
BR0117,AxisOne Branch 117,Ahmedabad,Gujarat,North,2019
BR0118,AxisOne Branch 118,Jaipur,Rajasthan,West,2000
BR0119,AxisOne Branch 119,Jaipur,Rajasthan,East,2023
BR0120,AxisOne Branch 120,Mumbai,Maharashtra,South,2020
BR0121,AxisOne Branch 121,Ahmedabad,Gujarat,South,2006
BR0122,AxisOne Branch 122,Pune,Maharashtra,West,2005
BR0123,AxisOne Branch 123,Mumbai,Maharashtra,West,2013
BR0124,AxisOne Branch 124,Pune,Maharashtra,South,2003
BR0125,AxisOne Branch 125,Hyderabad,Telangana,West,2008
BR0126,AxisOne Branch 126,Hyderabad,Telangana,South,2009
BR0127,AxisOne Branch 127,Ahmedabad,Gujarat,North,2021
BR0128,AxisOne Branch 128,Ahmedabad,Gujarat,North,2008
BR0129,AxisOne Branch 129,Bengaluru,Karnataka,West,2020
BR0130,AxisOne Branch 130,Delhi,Delhi,West,2008
BR0131,AxisOne Branch 131,Lucknow,Uttar Pradesh,North,2001
BR0132,AxisOne Branch 132,Jaipur,Rajasthan,North,2000
BR0133,AxisOne Branch 133,Lucknow,Uttar Pradesh,East,1999
BR0134,AxisOne Branch 134,Pune,Maharashtra,East,2022
BR0135,AxisOne Branch 135,Pune,Maharashtra,West,2019
BR0136,AxisOne Branch 136,Lucknow,Uttar Pradesh,West,2002
BR0137,AxisOne Branch 137,Bengaluru,Karnataka,East,2000
BR0138,AxisOne Branch 138,Lucknow,Uttar Pradesh,North,2023
BR0139,AxisOne Branch 139,Pune,Maharashtra,West,2000
BR0140,AxisOne Branch 140,Lucknow,Uttar Pradesh,North,2018
BR0141,AxisOne Branch 141,Mumbai,Maharashtra,East,2000
BR0142,AxisOne Branch 142,Jaipur,Rajasthan,North,2006
BR0143,AxisOne Branch 143,Mumbai,Maharashtra,West,1998
BR0144,AxisOne Branch 144,Ahmedabad,Gujarat,West,2006
BR0145,AxisOne Branch 145,Pune,Maharashtra,North,2014
BR0146,AxisOne Branch 146,Jaipur,Rajasthan,North,2003
BR0147,AxisOne Branch 147,Lucknow,Uttar Pradesh,North,2003
BR0148,AxisOne Branch 148,Jaipur,Rajasthan,East,2018
BR0149,AxisOne Branch 149,Lucknow,Uttar Pradesh,South,2007
BR0150,AxisOne Branch 150,Bengaluru,Karnataka,South,2006
